FormFK,QuestionID,QuestionKey,question,QuestionTitle,GroupTitle,stage,choice set,choice set description,choice,choice description
148,17,Q13*,Assessment Reference Date,NULL,NULL,Follow up,Date,Date type. Actual date should be entered in Description in tblAnswer,NULL,NULL
148,32,Q23*,Date of Onset of Impairment,NULL,NULL,Follow up,Date,Date type. Actual date should be entered in Description in tblAnswer,NULL,NULL
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,1,"Home (private home/apt., board/care, assisted living, group home, transitional living, other residential care arrangements"
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,2,Short-term General Hospital
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,3,Skilled Nursing Facility (SNF)
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,4,Intermediate care
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,50,Hospice (home)
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,51,Hospice (medical facility)
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,6,Home under care of organized home health service organization
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,61,Swing bed;
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,62,Another Inpatient Rehabilitation Facility
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,63,Long-Term Care Hospital (LTCH
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,64,Medicaid Nursing Facility
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,65,Inpatient Psychiatric Facility
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,66,Critical Access Hospital (CAH)
148,47,Q44D,"Patient’s discharge destination/living setting (answer only if 44C = 1; if 44C = 0, skip to item 46)",NULL,NULL,Follow up,Soure-Destination,Source or Destination,99,Not Listed
148,49,Q45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),NULL,NULL,Follow up,LivingWith,Pre-Hospital or Discharge to Living With,1,Alone
148,49,Q45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),NULL,NULL,Follow up,LivingWith,Pre-Hospital or Discharge to Living With,2,Family / Relatives
148,49,Q45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),NULL,NULL,Follow up,LivingWith,Pre-Hospital or Discharge to Living With,3,Friends
148,49,Q45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),NULL,NULL,Follow up,LivingWith,Pre-Hospital or Discharge to Living With,4,Attendant
148,49,Q45,Discharge to Living With (Code only if item 44C is 1 -Yes and 44D is 1 -Home),NULL,NULL,Follow up,LivingWith,Pre-Hospital or Discharge to Living With,5,Other
146,136,GG0130A1-ADMISSION*,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,Self-Care (3-day assessment period),1. Admission Performance,Follow up,GG0130/GG0170,Self-Care or Mobility (3-day assessment period),1,"Dependent - Helper does ALL of the effort. Patient does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the patient to complete the activity."
146,136,GG0130A1-ADMISSION*,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,Self-Care (3-day assessment period),1. Admission Performance,Follow up,GG0130/GG0170,Self-Care or Mobility (3-day assessment period),10,"Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)"
146,136,GG0130A1-ADMISSION*,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,Self-Care (3-day assessment period),1. Admission Performance,Follow up,GG0130/GG0170,Self-Care or Mobility (3-day assessment period),2,Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.
146,136,GG0130A1-ADMISSION*,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,Self-Care (3-day assessment period),1. Admission Performance,Follow up,GG0130/GG0170,Self-Care or Mobility (3-day assessment period),3,"Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds or supports trunk or limbs, but provides less than half the effort."
146,136,GG0130A1-ADMISSION*,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,Self-Care (3-day assessment period),1. Admission Performance,Follow up,GG0130/GG0170,Self-Care or Mobility (3-day assessment period),4,Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as patient completes activity. Assistance may be provided throughout the activity or intermittently.
146,136,GG0130A1-ADMISSION*,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,Self-Care (3-day assessment period),1. Admission Performance,Follow up,GG0130/GG0170,Self-Care or Mobility (3-day assessment period),5,Setup or clean-up assistance - Helper sets up or cleans up; patient completes activity. Helper assists only prior to or following the activity.
146,136,GG0130A1-ADMISSION*,Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the patient.,Self-Care (3-day assessment period),1. Admission Performance,Follow up,GG0130/GG0170,Self-Care or Mobility (3-day assessment period),6,Independent - Patient completes the activity by him/herself with no assistance from a helper.
