Form,Section,QuestionKey,order,Question,Code Set,Valid Choice,Choice Code,Code Value Comment,PARENT comment,GRAND comment,GREAT comment,ANTIQUITY Comment
Form-BasicInfo,Section-Indentification,Q1A,1,Facility Name,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q1B,1,Facility Medicare Provider Number,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q2,2,Patient Medicare Number,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q3,3,Patient Medicaid Number,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q4,4,Patient First Name,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q5A,5,Patient Last Name,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q5B,5,Patient Identifcation Number,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q6,6,Birth Date,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q7,7,Social Security Number,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q8,8,Gender,155,Male,1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q8,8,Gender,155,Female,2,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q10,10,Marital Status,158,Never Married,1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q10,10,Marital Status,158,Married,2,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q10,10,Marital Status,158,Widowed,3,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q10,10,Marital Status,158,Separated,4,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q10,10,Marital Status,158,Divorced,5,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q11,11,Zip Code,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q12,12,Admission Date,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q13,13,Assessment Reference Date,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q14,14,Admission Class,164,Initial Rehab,1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q14,14,Admission Class,164,Evaluation,2,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q14,14,Admission Class,164,Readmission,3,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q14,14,Admission Class,164,Unplanned Discharge,4,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q14,14,Admission Class,164,Continuing Rehabilitation,5,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,"Home (private home/apt., board/care, assisted living, group home, transitional living, other residential care arrangements",1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Short-term General Hospital,2,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Skilled Nursing Facility (SNF),3,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Intermediate care,4,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Home under care of organized home health service organization,6,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Hospice (home),50,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Critical Access Hospital (CAH),66,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Not Listed,99,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Hospice (medical facility),51,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Swing bed;,61,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Another Inpatient Rehabilitation Facility,62,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Long-Term Care Hospital (LTCH,63,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Medicaid Nursing Facility,64,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q15A,15,Admit From,93,Inpatient Psychiatric Facility,65,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,"Home (private home/apt., board/care, assisted living, group home, transitional living, other residential care arrangements",1,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Short-term General Hospital,2,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Skilled Nursing Facility (SNF),3,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Intermediate care,4,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Home under care of organized home health service organization,6,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Hospice (home),50,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Critical Access Hospital (CAH),66,NULL,NULL,NULL,NULL,NULL
Form-BasicInfo,Section-Indentification,Q16A,16,Pre-hospial Living Setting,93,Not Listed,99,NULL,NULL,NULL,NULL,NULL
